#dig label(dig)
,,,,,,,,,,,d,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
,d,,d,,d,,d,,d,,d,d,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d
#build label(build)

,f,,f,,f,,f,,f,,,,,f,,f,,f,,f,,f,,f,,f,,f,,f,,f

,b,,b,,b,,b,,b,,,,,b,,b,,b,,b,,b,,b,,b,,b,,b,,b

,d,,d,,d,,d,,d,,,,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d

,d,,d,,d,,d,,d,,,,,d,,d,,d,,d,,d,,d,,d,,d,,d,,d

,b,,b,,b,,b,,b,,,,,b,,b,,b,,b,,b,,b,,b,,b,,b,,b

,f,,f,,f,,f,,f,,,,,f,,f,,f,,f,,f,,f,,f,,f,,f,,f
